,id_ap,ap_isu_id,title_ap,year,qualification,id_direction,title_direction,number_direction,structural_unit,su_short_name,on_check,laboriousness,loading_datetime
0,6796,10572,Нанофотоника и квантовая оптика,2018,bachelor,15772,Техническая физика,16.03.01,,,in_work,393,2024-03-01 12:30:35.352227
1,6797,10571,Информационные технологии в энергетике,2018,bachelor,15766,Ядерная энергетика и теплофизика,14.03.01,,,in_work,311,2024-03-01 12:30:58.391373
2,6798,14637,Молекулярная биология и биотехнология / Molecular Biology and Biotechnology,2021,master,15783,Биотехнология,19.04.01,,,in_work,227,2024-03-01 12:31:06.629456
3,6799,10574,Низкотемпературная техника и энергетика,2018,bachelor,15773,"Холодильная, криогенная техника и системы жизнеобеспечения",16.03.03,,,in_work,352,2024-03-01 12:31:36.151463
4,6800,10575,Экологический инжиниринг,2018,bachelor,15777,"Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",18.03.02,,,in_work,296,2024-03-01 12:31:57.958410
5,6801,10577,Пищевая биотехнология,2018,bachelor,15780,Биотехнология,19.03.01,,,in_work,311,2024-03-01 12:32:21.489817
6,6802,9863,"Технологии напитков, хлеба и кондитерских изделий",2018,bachelor,15781,Продукты питания из растительного сырья,19.03.02,,,in_work,311,2024-03-01 12:32:46.044191
7,6803,9868,Молекулярное питание и пищевые технологии,2018,bachelor,15782,Продукты питания животного происхождения,19.03.03,,,in_work,311,2024-03-01 12:33:14.744462
8,6804,10565,Прикладная и компьютерная оптика,2018,bachelor,15753,Оптотехника,12.03.02,,,in_work,311,2024-03-01 12:33:41.061737
9,6805,10573,Световая инженерия,2018,bachelor,15772,Техническая физика,16.03.01,,,in_work,311,2024-03-01 12:34:04.778189
10,6806,10566,Физика наноструктур,2018,bachelor,15754,Фотоника и оптоинформатика,12.03.03,,,in_work,311,2024-03-01 12:34:36.170934
11,6807,9874,Квантовые технологии в коммуникациях,2018,bachelor,15754,Фотоника и оптоинформатика,12.03.03,,,in_work,311,2024-03-01 12:35:01.357188
12,6808,10568,Лазерные технологии,2018,bachelor,15756,Лазерная техника и лазерные технологии,12.03.05,,,in_work,311,2024-03-01 12:35:32.289198
13,6809,10569,Лазеры для информационно-коммуникационных систем,2018,bachelor,15756,Лазерная техника и лазерные технологии,12.03.05,,,in_work,311,2024-03-01 12:35:57.090610
14,6810,13378,Научная коммуникация,2020,master,15798,Инноватика,27.04.05,,,in_work,135,2024-03-01 12:36:11.479776
15,6811,13365,Цифровые системы управления,2020,master,15796,Системный анализ и управление,27.04.03,,,in_work,240,2024-03-01 12:36:33.385870
16,6812,10579,Управление технологическими инновациями,2018,bachelor,15793,Инноватика,27.03.05,,,in_work,311,2024-03-01 12:37:01.701016
17,6813,10559,Компьютерные технологии в дизайне,2018,bachelor,15741,Программная инженерия,09.03.04,,,in_work,341,2024-03-01 12:37:15.146412
18,6814,9871,Экономика высокотехнологичной компании,2018,bachelor,15801,Экономика,38.03.01,,,in_work,311,2024-03-01 12:37:40.460911
19,6815,10560,Нейротехнологии и программирование,2018,bachelor,15741,Программная инженерия,09.03.04,,,in_work,311,2024-03-01 12:38:03.288411
20,6816,10561,Технологии защиты информации,2018,bachelor,,,,,,in_work,311,2024-03-01 12:38:34.485089
21,6817,10580,Компьютерная графика и дизайн,2018,bachelor,15805,Профессиональное обучение,44.03.04,,,in_work,335,2024-03-01 12:38:47.253569
22,6818,10555,Информатика и программирование,2018,bachelor,15734,Прикладная математика и информатика,01.03.02,,,in_work,352,2024-03-01 12:39:10.998941
23,6819,9869,Технологии транспортирования углеводородных энергоносителей,2018,bachelor,,,,,,in_work,311,2024-03-01 12:39:35.456019
24,6820,10576,Биоинженерия,2018,bachelor,15780,Биотехнология,19.03.01,,,in_work,311,2024-03-01 12:40:03.371686
25,6822,13397,Биоинженерия,2020,bachelor,15755,Биотехнические системы и технологии,12.03.04,,,in_work,580,2024-03-01 12:40:54.683541
26,6823,13276,Биоинженерия,2020,bachelor,15777,"Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",18.03.02,,,in_work,560,2024-03-01 12:41:31.912594
27,6826,11713,Техническая физика,2019,bachelor,15772,Техническая физика,16.03.01,,,in_work,427,2024-03-01 12:41:59.433478
28,6827,11721,Биоинженерия,2019,bachelor,15777,"Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",18.03.02,,,in_work,424,2024-03-01 12:42:24.644676
29,6828,11715,Оптико-электронные информационно-измерительные приборы и системы,2019,specialist,15762,Электронные и оптико-электронные приборы и системы специального назначения,12.05.01,,,in_work,1083,2024-03-01 12:43:34.450339
30,6829,13312,Цифровые технологии умного города,2020,master,15744,Прикладная информатика,09.04.03,,,in_work,160,2024-03-01 12:43:52.974467
31,6830,10564,Цифровые технологии в приборостроении,2018,bachelor,15752,Приборостроение,12.03.01,,,in_work,306,2024-03-01 12:44:15.769668
32,6831,10570,Цифровой электропривод робототехнических комплексов,2018,bachelor,15764,Электроэнергетика и электротехника,13.03.02,,,in_work,311,2024-03-01 12:44:42.943578
33,6832,10556,Вычислительные системы и сети,2018,bachelor,15738,Информатика и вычислительная техника,09.03.01,,,in_work,333,2024-03-01 12:44:55.488983
34,6833,9859,Цифровое производство,2018,bachelor,15767,Автоматизация технологических процессов и производств,15.03.04,,,in_work,311,2024-03-01 12:45:23.187154
35,6834,10425,Интеллектуальная робототехника,2018,bachelor,15768,Мехатроника и робототехника,15.03.06,,,in_work,311,2024-03-01 12:45:45.923663
36,6835,10558,Системное и прикладное программное обеспечение,2018,bachelor,15741,Программная инженерия,09.03.04,,,in_work,360,2024-03-01 12:45:59.556248
37,6836,10563,Конструирование и технология электронных средств,2018,bachelor,15749,Конструирование и технология электронных средств,11.03.03,,,in_work,311,2024-03-01 12:46:21.996483
38,6837,10426,Управление в технических системах,2018,bachelor,15792,Управление в технических системах,27.03.04,,,in_work,293,2024-03-01 12:46:44.397973
39,6838,10578,Управление движением и навигация,2018,bachelor,15789,Системы управления движением и навигация,24.03.02,,,in_work,311,2024-03-01 12:47:05.448613
40,6839,9837,Мобильные и сетевые технологии,2018,bachelor,15740,Прикладная информатика,09.03.03,,,in_work,311,2024-03-01 12:47:28.097798
41,6840,10562,Инфокоммуникационные системы,2018,bachelor,15748,Инфокоммуникационные технологии и системы связи,11.03.02,,,in_work,393,2024-03-01 12:47:52.944718
42,6841,9872,Иностранные языки и информационные технологии / Humanities and IT,2018,bachelor,15806,Интеллектуальные системы в гуманитарной сфере,45.03.04,,,in_work,311,2024-03-01 12:48:15.416926
43,6842,10557,Программирование и интернет-технологии,2018,bachelor,15739,Информационные системы и технологии,09.03.02,,,in_work,311,2024-03-01 12:48:39.147153
